name,country,region,lat,lon,climate_zone,period_start,period_end,NDVI,EVI,SAVI,NDMI,pixel_count
Shakardara,Afghanistan,Kabul,34.65,69.03,highland_irrigated,2019-01-01,2019-01-17,0.09007236366184909,0.07020563829804294,0.07050636387201492,-0.10076305108754306,44
Kama,Afghanistan,Nangarhar,34.42,70.55,lowland_irrigated,2019-01-01,2019-01-17,0.4164669420690695,0.234298187804281,0.22277963596732958,0.05492320876041433,47
Dawlatabad,Afghanistan,Balkh,36.85,66.85,plains_irrigated,2019-01-01,2019-01-17,0.26902621204229055,0.05888342284629175,0.07134851825644382,-0.10220843981786694,34
Injil,Afghanistan,Herat,34.28,62.15,plains_irrigated,2019-01-01,2019-01-17,0.180140435142827,0.10476360740617587,0.11156148107445467,-0.0006593970773407106,47
Arghandab,Afghanistan,Kandahar,31.72,65.65,arid_irrigated,2019-01-01,2019-01-17,0.09291897358080013,0.07512930270902249,0.07569491924444695,-0.05593445111315581,47
Khanabad,Afghanistan,Kunduz,36.65,68.95,plains_irrigated,2019-01-01,2019-01-17,0.1000041171712399,0.0501066006900654,0.048237590112581184,-0.08979428803479958,44
NadAli,Afghanistan,Helmand,31.55,64.25,arid_irrigated,2019-01-01,2019-01-17,0.10243098196253853,0.08240050923455766,0.08401456831316542,-0.07705725584457172,46
GhazniCity,Afghanistan,Ghazni,33.55,68.42,highland_rainfed,2019-01-01,2019-01-17,0.10517670586438557,0.08638400348758851,0.07571968597039996,0.028015429907888585,46
Maimana,Afghanistan,Faryab,35.92,64.78,plains_rainfed,2019-01-01,2019-01-17,0.21224947216791296,0.10124282129877606,0.10631912186132754,-0.0401647122956948,43
Chaghcharan,Afghanistan,Ghor,34.52,65.25,highland_rainfed,2019-01-01,2019-01-17,-0.5585146521910643,-0.06269726549155799,-0.0843506502652427,-0.7115911948375213,2
Zaranj,Afghanistan,Nimroz,31,61.87,arid_irrigated,2019-01-01,2019-01-17,0.11877847183025733,0.09968940984171493,0.0982067814410439,-0.054058196371373324,46
Dronten,Netherlands,Flevoland,52.53,5.72,temperate_arable,2019-01-01,2019-01-17,0.19683135828925394,0.0784706454624018,0.06580343963326739,0.11320682706661615,63
Veendam,Netherlands,Groningen,53.1,6.87,temperate_arable,2019-01-01,2019-01-17,0.236372083035695,0.15436153235648198,0.11518559329336016,0.09533703936510542,62
Sneek,Netherlands,Friesland,53.03,5.65,temperate_dairy_pasture,2019-01-01,2019-01-17,0.3785766135337032,0.21235986100535795,0.17367087971167183,0.10447004209053337,55
