name,country,date,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,et0_fao_evapotranspiration
Shakardara,Afghanistan,2019-01-01,2.0,-4.4,12.6,76,0.47
Shakardara,Afghanistan,2019-01-02,5.3,-4.9,0.0,51,1.46
Shakardara,Afghanistan,2019-01-03,5.5,-3.4,0.2,56,1.25
Shakardara,Afghanistan,2019-01-04,0.2,-1.8,17.1,93,0.4
Shakardara,Afghanistan,2019-01-05,0.7,-10.8,0.3,72,1.18
Shakardara,Afghanistan,2019-01-06,1.2,-9.6,0.0,36,1.45
Shakardara,Afghanistan,2019-01-07,4.0,-7.5,0.1,52,1.29
Shakardara,Afghanistan,2019-01-08,2.9,-8.1,8.5,77,1.05
Shakardara,Afghanistan,2019-01-09,4.8,-7.3,0.0,45,1.61
Shakardara,Afghanistan,2019-01-10,-0.6,-5.2,9.1,81,0.59
Shakardara,Afghanistan,2019-01-11,-0.9,-5.6,19.5,84,0.49
Shakardara,Afghanistan,2019-01-12,-0.9,-10.6,4.7,56,1.28
Shakardara,Afghanistan,2019-01-13,-1.2,-12.5,0.0,19,1.54
Shakardara,Afghanistan,2019-01-14,2.1,-11.9,0.0,30,1.63
Shakardara,Afghanistan,2019-01-15,5.7,-6.7,0.0,50,1.65
Shakardara,Afghanistan,2019-01-16,5.0,-7.1,0.4,51,1.58
Shakardara,Afghanistan,2019-01-17,4.1,-7.9,0.0,26,1.86
Shakardara,Afghanistan,2019-01-18,1.2,-3.7,4.7,77,0.68
Shakardara,Afghanistan,2019-01-19,2.1,-1.2,26.8,87,0.58
Shakardara,Afghanistan,2019-01-20,0.9,-4.1,24.5,82,0.54
Shakardara,Afghanistan,2019-01-21,-1.2,-9.3,0.0,58,1.33
Shakardara,Afghanistan,2019-01-22,-2.3,-12.7,0.0,48,1.39
Shakardara,Afghanistan,2019-01-23,-3.5,-13.0,0.0,47,1.33
Shakardara,Afghanistan,2019-01-24,-3.2,-13.5,0.0,43,1.35
Shakardara,Afghanistan,2019-01-25,-3.1,-14.0,0.0,35,1.45
Shakardara,Afghanistan,2019-01-26,-3.3,-15.2,0.0,42,1.39
Shakardara,Afghanistan,2019-01-27,-1.0,-10.7,0.0,43,1.47
Shakardara,Afghanistan,2019-01-28,2.3,-8.9,0.0,33,1.72
Shakardara,Afghanistan,2019-01-29,3.5,-8.1,3.1,53,1.45
Shakardara,Afghanistan,2019-01-30,0.0,-2.4,13.2,81,0.64
Shakardara,Afghanistan,2019-01-31,0.5,-3.3,4.8,77,0.85
Shakardara,Afghanistan,2019-02-01,1.0,-5.2,0.6,77,1.31
Shakardara,Afghanistan,2019-02-02,1.3,-6.6,0.0,66,1.52
Shakardara,Afghanistan,2019-02-03,2.4,-6.7,0.1,61,1.61
Shakardara,Afghanistan,2019-02-04,1.0,-1.8,16.4,83,0.66
Shakardara,Afghanistan,2019-02-05,0.7,-3.4,18.7,91,0.76
Shakardara,Afghanistan,2019-02-06,-1.2,-7.5,0.3,73,1.28
Shakardara,Afghanistan,2019-02-07,-2.2,-8.5,0.0,48,1.49
Shakardara,Afghanistan,2019-02-08,-0.4,-6.0,0.0,28,1.68
Shakardara,Afghanistan,2019-02-09,3.2,-10.9,0.0,34,1.92
Shakardara,Afghanistan,2019-02-10,3.6,-8.1,0.0,45,1.74
Shakardara,Afghanistan,2019-02-11,3.0,-4.4,3.9,72,1.25
Shakardara,Afghanistan,2019-02-12,1.3,-0.3,22.3,88,0.63
Shakardara,Afghanistan,2019-02-13,1.4,-1.0,34.4,88,0.56
Shakardara,Afghanistan,2019-02-14,1.6,-2.8,6.2,86,1.2
Shakardara,Afghanistan,2019-02-15,0.9,-6.7,0.0,54,1.82
Shakardara,Afghanistan,2019-02-16,3.3,-4.7,0.5,46,2.08
Shakardara,Afghanistan,2019-02-17,0.3,-3.0,15.1,86,0.69
