,importance
NDVI_lag1,0.08128960653142402
SAVI_lag1,0.08022115367122216
EVI_lag1,0.07681618834660962
ndvi_trend,0.071754267553095
humidity_mean,0.06616975962295679
NDMI_lag1,0.06497869703656414
tmin_mean,0.0640823771951084
et0_sum,0.0627695277038305
tmax_mean,0.06016821745282071
precip_sum,0.059338085240599456
evi_trend,0.05782397984612004
lon,0.03658724007845772
dry_days,0.03535711112144636
lat,0.03415829762014328
month_cos,0.027691837820758437
climate_zone_plains_rainfed,0.02060939828712375
month_sin,0.019114624445573287
frost_days,0.018610004674975172
country_Afghanistan,0.013250205113433066
climate_zone_arid_irrigated,0.009638683539942558
heat_days,0.008106754107560874
climate_zone_highland_rainfed,0.005701441024276859
climate_zone_plains_irrigated,0.0033273617211733507
climate_zone_temperate_dairy_pasture,0.002937725479110048
country_Netherlands,0.0027546873738213333
climate_zone_maritime_horticulture,0.0026758264585665698
climate_zone_maritime_dairy_pasture,0.0025086125434872096
climate_zone_temperate_arable,0.0024399899863567255
country_New Zealand,0.002356159614770522
climate_zone_temperate_horticulture,0.002249551075596645
climate_zone_highland_irrigated,0.001771642132676281
climate_zone_maritime_arable,0.0014578662973437132
climate_zone_lowland_irrigated,0.0012831192830553544
