,importance
country_Afghanistan,0.1058664
climate_zone_plains_rainfed,0.080420196
country_Netherlands,0.06061556
climate_zone_arid_irrigated,0.05138236
climate_zone_highland_rainfed,0.04974687
frost_days,0.030337607
SAVI_lag1,0.028305925
lat,0.027935883
EVI_lag1,0.026653763
lon,0.026499158
month_cos,0.02618444
NDVI_lag1,0.02590248
tmin_mean,0.02538908
climate_zone_plains_irrigated,0.024731042
dry_days,0.024620967
climate_zone_highland_irrigated,0.024603292
et0_sum,0.024530288
precip_sum,0.024442615
humidity_mean,0.02415678
ndvi_trend,0.023448814
climate_zone_maritime_arable,0.023342412
tmax_mean,0.023020154
NDMI_lag1,0.022671739
climate_zone_temperate_dairy_pasture,0.022578603
evi_trend,0.021228082
climate_zone_maritime_dairy_pasture,0.021134075
climate_zone_temperate_arable,0.02085496
month_sin,0.020221276
climate_zone_maritime_horticulture,0.019736465
climate_zone_temperate_horticulture,0.019049808
heat_days,0.018764082
climate_zone_lowland_irrigated,0.01700963
country_New Zealand,0.014615177
